ID,Station Name,Total Docks,Docks in Service,Status,Latitude,Longitude,Location,Ranking
632,Clark St & Newport St,15,15,In Service,41.94454,-87.654678,"(41.94454, -87.654678)",29
289,Wells St & Concord Ln,19,19,In Service,41.912133,-87.634656,"(41.912133, -87.634656)",3
35,Streeter Dr & Grand Ave,47,47,In Service,41.892278,-87.612043,"(41.892278, -87.612043)",1
320,Loomis St & Lexington St,19,19,In Service,41.872187,-87.661501,"(41.872187, -87.661501)",32
127,Lincoln Ave & Fullerton Ave,15,15,In Service,41.92416103,-87.64638037,"(41.924161029067626, -87.64638036489487)",47
133,Kingsbury St & Kinzie St,31,31,In Service,41.88917683,-87.63850577,"(41.88917683258, -87.6385057718)",7
211,St. Clair St & Erie St,19,19,In Service,41.89434514,-87.62279838,"(41.89434513742426, -87.62279838323593)",22
426,Ellis Ave & 60th St,19,19,In Service,41.78509715,-87.60107276,"(41.78509714636, -87.6010727606)",26
43,Michigan Ave & Washington St,43,43,In Service,41.88398407,-87.62468398,"(41.8839840647265, -87.6246839761734)",28
67,Sheffield Ave & Fullerton Ave,27,27,In Service,41.92560188,-87.65370804,"(41.9256018819, -87.6537080423)",25
69,Damen Ave & Pierce Ave,23,23,In Service,41.90939601,-87.67769193,"(41.9093960065, -87.6776919292)",44
99,McClurg Ct & Ohio St,19,19,In Service,41.89259212,-87.61728913,"(41.892592119709725, -87.61728912591934)",50
220,Clark St & Drummond Pl,23,23,In Service,41.931248,-87.644336,"(41.931248, -87.644336)",33
300,Broadway & Barry Ave,19,19,In Service,41.93758232,-87.64409781,"(41.93758231600629, -87.6440978050232)",12
255,Indiana Ave & Roosevelt Rd,39,39,In Service,41.867888,-87.623041,"(41.867888, -87.623041)",21
53,Wells St & Huron St,27,27,In Service,41.894722,-87.634362,"(41.894722, -87.634362)",19
94,Clark St & Armitage Ave,31,31,In Service,41.918306,-87.636282,"(41.918306, -87.636282)",11
144,Larrabee St & Webster Ave,19,19,In Service,41.921822,-87.64414,"(41.921822, -87.64414)",31
182,Wells St & Elm St,23,23,In Service,41.903222,-87.634324,"(41.903222, -87.634324)",9
299,Halsted St & Roscoe St,15,15,In Service,41.94367,-87.64895,"(41.94367, -87.64895)",39
117,Wilton Ave & Belmont Ave,27,27,In Service,41.94023192,-87.65294373,"(41.940231918108594, -87.65294373035431)",15
303,Broadway & Cornelia Ave,23,23,In Service,41.945529,-87.646439,"(41.945529, -87.646439)",42
140,Dearborn Pkwy & Delaware Pl,19,19,In Service,41.898969,-87.629912,"(41.898969, -87.629912)",41
349,Halsted St & Wrightwood Ave,15,15,In Service,41.929143,-87.649077,"(41.929143, -87.649077)",49
268,DuSable Lake Shore Dr & North Blvd,39,39,In Service,41.911722,-87.626804,"(41.911722, -87.626804)",2
77,Clinton St & Madison St,31,31,In Service,41.882242,-87.641066,"(41.882242, -87.641066)",16
329,DuSable Lake Shore Dr & Diversey Pkwy,23,23,In Service,41.932588,-87.636427,"(41.932588, -87.636427)",37
52,Michigan Ave & Lake St,35,35,In Service,41.886024,-87.624117,"(41.886024, -87.624117)",48
198,Green St & Madison St,27,27,In Service,41.881892,-87.648789,"(41.881892, -87.648789)",35
177,Theater on the Lake,31,31,In Service,41.926277,-87.630834,"(41.926277, -87.630834)",8
59,Wabash Ave & Roosevelt Rd,23,23,In Service,41.867227,-87.625961,"(41.867227, -87.625961)",43
313,Lakeview Ave & Fullerton Pkwy,19,19,In Service,41.925858,-87.638973,"(41.925858, -87.638973)",36
423,University Ave & 57th St,31,31,In Service,41.791478,-87.599861,"(41.791478, -87.599861)",23
110,Dearborn St & Erie St,27,27,In Service,41.893992,-87.629318,"(41.893992, -87.629318)",20
304,Broadway & Waveland Ave,15,15,In Service,41.949074,-87.648636,"(41.949074, -87.648636)",38
91,Clinton St & Washington Blvd,31,31,In Service,41.88338,-87.64117,"(41.88338, -87.64117)",17
340,Clark St & Wrightwood Ave,15,15,In Service,41.929546,-87.643118,"(41.929546, -87.643118)",18
141,Clark St & Lincoln Ave,23,23,In Service,41.915689,-87.6346,"(41.915689, -87.6346)",14
176,Clark St & Elm St,39,39,In Service,41.902973,-87.63128,"(41.902973, -87.63128)",6
181,LaSalle St & Illinois St,31,31,In Service,41.890762,-87.631697,"(41.890762, -87.631697)",27
85,Michigan Ave & Oak St,23,23,In Service,41.90096039,-87.62377664,"(41.90096039, -87.62377664)",4
199,Wabash Ave & Grand Ave,31,31,In Service,41.891466,-87.626761,"(41.891466, -87.626761)",13
76,DuSable Lake Shore Dr & Monroe St,39,39,In Service,41.880958,-87.616743,"(41.880958, -87.616743)",5
291,Wells St & Evergreen Ave,19,19,In Service,41.906724,-87.63483,"(41.906724, -87.63483)",46
26,New St & Illinois St,31,31,In Service,41.89084704,-87.61861682,"(41.890847040623804, -87.61861681938171)",45
90,Millennium Park,47,47,In Service,41.8810317,-87.62408432,"(41.8810317, -87.62408432)",10
210,Ashland Ave & Division St,27,27,In Service,41.90345,-87.667747,"(41.90345, -87.667747)",30
192,Canal St & Adams St,47,47,In Service,41.879255,-87.639904,"(41.879255, -87.639904)",34
3,Shedd Aquarium,55,55,In Service,41.86722596,-87.61535539,"(41.86722595682, -87.6153553902)",40
212,Wells St & Hubbard St,31,31,In Service,41.889906,-87.634266,"(41.889906, -87.634266)",24
